Linux 3.10.0-862.14.4.el7.x86_64 (CentOS) 	04/12/18 	_x86_64_	(1 CPU)

10:55:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
11:09:53        all     80,60      0,00      3,02      0,00      0,00     16,38
11:10:03        all     96,29      0,00      3,71      0,00      0,00      0,00
11:10:13        all     96,79      0,00      3,21      0,00      0,00      0,00
11:10:23        all     96,86      0,00      3,14      0,00      0,00      0,00
11:10:33        all     96,98      0,00      3,02      0,00      0,00      0,00
11:10:43        all     96,69      0,00      3,31      0,00      0,00      0,00
11:10:53        all     97,09      0,00      2,91      0,00      0,00      0,00
11:11:03        all     97,20      0,00      2,80      0,00      0,00      0,00
11:11:13        all     97,49      0,00      2,51      0,00      0,00      0,00
11:11:23        all     97,17      0,00      2,83      0,00      0,00      0,00
11:11:33        all     97,49      0,00      2,51      0,00      0,00      0,00
11:11:43        all     97,80      0,00      2,20      0,00      0,00      0,00
11:11:53        all     97,49      0,00      2,51      0,00      0,00      0,00
11:12:03        all     96,89      0,00      3,11      0,00      0,00      0,00
11:12:13        all     96,99      0,00      3,01      0,00      0,00      0,00
11:12:23        all     97,47      0,00      2,53      0,00      0,00      0,00
11:12:33        all     97,79      0,00      2,21      0,00      0,00      0,00
11:12:43        all     97,29      0,00      2,71      0,00      0,00      0,00
11:12:53        all     97,59      0,00      2,41      0,00      0,00      0,00
11:13:03        all     97,49      0,00      2,51      0,00      0,00      0,00
11:13:13        all     97,69      0,00      2,31      0,00      0,00      0,00
11:13:23        all     97,57      0,00      2,43      0,00      0,00      0,00
11:13:33        all     98,00      0,00      2,00      0,00      0,00      0,00
11:13:43        all     97,89      0,00      2,11      0,00      0,00      0,00
11:13:53        all     97,89      0,00      2,11      0,00      0,00      0,00
11:14:03        all     97,99      0,00      2,01      0,00      0,00      0,00
11:14:13        all     98,40      0,00      1,60      0,00      0,00      0,00
11:14:23        all     98,00      0,00      2,00      0,00      0,00      0,00
11:14:33        all     98,09      0,00      1,91      0,00      0,00      0,00
11:14:43        all     98,29      0,00      1,71      0,00      0,00      0,00
11:14:53        all     98,10      0,00      1,90      0,00      0,00      0,00
11:15:03        all     98,09      0,00      1,91      0,00      0,00      0,00
11:15:13        all     97,99      0,00      2,01      0,00      0,00      0,00
11:15:24        all     98,14      0,00      1,86      0,00      0,00      0,00
11:15:34        all     97,89      0,00      2,11      0,00      0,00      0,00
11:15:44        all     98,09      0,00      1,91      0,00      0,00      0,00
11:15:54        all     31,33      0,00      0,90      0,00      0,00     67,77
11:16:04        all      0,50      0,00      0,40      0,00      0,00     99,10
11:16:14        all      0,90      0,00      0,40      0,00      0,00     98,70
11:16:24        all      1,20      0,00      0,60      0,00      0,00     98,19
11:16:34        all      0,53      0,00      0,74      0,00      0,00     98,73
11:16:44        all      0,40      0,00      0,30      0,00      0,00     99,30
11:16:54        all      1,10      0,00      0,50      0,00      0,00     98,40
11:17:04        all      0,60      0,00      0,40      0,00      0,00     99,00
11:17:14        all      0,40      0,00      0,30      0,00      0,00     99,30
11:17:24        all      0,80      0,00      0,60      0,00      0,00     98,60
11:17:34        all      1,26      0,00      0,74      0,00      0,00     98,00
11:17:44        all      0,50      0,00      0,30      0,00      0,00     99,20
11:17:54        all      0,50      0,00      0,40      0,00      0,00     99,10
11:18:04        all      1,31      0,00      0,50      0,00      0,00     98,19
11:18:14        all      0,40      0,00      0,40      0,00      0,00     99,20
11:18:24        all      0,40      0,00      0,40      0,00      0,00     99,20
11:18:34        all      1,47      0,00      1,05      0,00      0,00     97,48
11:18:44        all      0,80      0,00      0,70      0,00      0,00     98,50
11:18:54        all      0,50      0,00      0,30      0,00      0,00     99,20
11:19:04        all      0,40      0,00      0,40      0,00      0,00     99,20
11:19:14        all      1,20      0,00      0,70      0,00      0,00     98,09
11:19:24        all      0,50      0,00      0,30      0,00      0,00     99,20
11:19:34        all      0,63      0,00      0,53      0,00      0,00     98,84
11:19:44        all      1,00      0,00      0,50      0,00      0,00     98,49
11:19:54        all      0,60      0,00      0,40      0,00      0,00     99,00
11:20:04        all      0,80      0,00      0,50      0,00      0,00     98,70
11:20:14        all      0,30      0,00      0,40      0,00      0,00     99,30
11:20:24        all      1,20      0,00      0,60      0,00      0,00     98,19
11:20:34        all      0,74      0,00      0,74      0,00      0,00     98,52
11:20:44        all      0,50      0,00      0,40      0,00      0,00     99,10
11:20:54        all      0,60      0,00      0,40      0,00      0,00     99,00
11:21:04        all      1,00      0,00      0,50      0,00      0,00     98,49
11:21:14        all      0,50      0,00      0,40      0,00      0,00     99,10
11:21:24        all      0,60      0,00      0,40      0,00      0,00     99,00
11:21:34        all      0,95      0,00      0,74      0,00      0,00     98,31
11:21:44        all      1,00      0,00      0,70      0,00      0,00     98,29
11:21:54        all      0,50      0,00      0,30      0,00      0,00     99,20
11:22:04        all      0,60      0,00      0,40      0,00      0,00     99,00
11:22:14        all      0,60      0,00      0,40      0,00      0,00     99,00
11:22:24        all      1,30      0,00      0,50      0,00      0,00     98,20
11:22:34        all      0,63      0,00      0,63      0,00      0,00     98,73
11:22:44        all      0,40      0,00      0,30      0,00      0,00     99,30
11:22:54        all      0,60      0,00      0,50      0,00      0,00     98,90
11:23:04        all      0,70      0,00      0,50      0,00      0,00     98,79
11:23:14        all      0,40      0,00      0,30      0,00      0,00     99,30
11:23:24        all     26,75      0,00      1,10      0,00      0,00     72,14
11:23:34        all     33,79      0,00      1,58      0,00      0,00     64,63
11:23:44        all      0,70      0,00      0,50      0,00      0,00     98,80
11:23:54        all      0,40      0,00      0,30      0,00      0,00     99,30
11:24:04        all      1,20      0,00      0,70      0,00      0,00     98,10
11:24:14        all      0,60      0,00      0,30      0,00      0,00     99,10
11:24:24        all      0,60      0,00      0,40      0,00      0,00     99,00
11:24:34        all      0,63      0,00      0,63      0,00      0,00     98,74
11:24:44        all      0,50      0,00      0,50      0,00      0,00     99,00
11:24:54        all      0,40      0,00      0,30      0,00      0,00     99,30
11:25:04        all      0,30      0,00      0,30      0,00      0,00     99,40
11:25:14        all      0,50      0,00      0,50      0,00      0,00     99,00
11:25:24        all      0,60      0,00      0,40      0,00      0,00     99,00
11:25:34        all      0,53      0,00      0,42      0,00      0,00     99,05
11:25:44        all      0,50      0,00      0,40      0,00      0,00     99,10
11:25:54        all      0,60      0,00      0,30      0,00      0,00     99,10
11:26:04        all      0,40      0,00      0,30      0,00      0,00     99,30
11:26:14        all      0,40      0,00      0,60      0,00      0,00     99,00
11:26:24        all      0,70      0,00      0,40      0,00      0,00     98,90
11:26:34        all      1,26      0,00      0,84      0,00      0,00     97,91
11:26:44        all      0,30      0,00      0,30      0,00      0,00     99,40
11:26:54        all      0,50      0,00      0,40      0,00      0,00     99,10
11:27:04        all      0,70      0,00      0,50      0,00      0,00     98,80
11:27:14        all      1,00      0,00      0,50      0,00      0,00     98,50
11:27:24        all      0,50      0,00      0,40      0,00      0,00     99,10
11:27:34        all      0,84      0,00      0,63      0,00      0,00     98,53
11:27:44        all      1,00      0,00      0,50      0,00      0,00     98,49
11:27:54        all      0,40      0,00      0,40      0,00      0,00     99,20
11:28:04        all      0,50      0,00      0,30      0,00      0,00     99,20
11:28:14        all      0,50      0,00      0,40      0,00      0,00     99,10
11:28:24        all      1,20      0,00      0,50      0,00      0,00     98,29
11:28:34        all      0,63      0,00      0,53      0,00      0,00     98,84
11:28:44        all      0,50      0,00      0,60      0,00      0,00     98,90
11:28:54        all      0,50      0,00      0,40      0,00      0,00     99,10
11:29:04        all      0,70      0,00      0,30      0,00      0,00     99,00
11:29:14        all      0,90      0,00      0,60      0,00      0,00     98,50
11:29:24        all      0,60      0,00      0,40      0,00      0,00     99,00
11:29:34        all      0,94      0,00      0,84      0,00      0,00     98,22
